dataverse=Dataverse,,,Dataverse,,,,,
newDataverse=New Dataverse,,,Új Dataverse,,,,,
hostDataverse=Host Dataverse,,,Kiszolgáló Dataverse/ Gazda Dataverse/ Fogadó Dataverse,,,,,
dataverses=Dataverses,,,"Szó szerinti fordítás: Adatversek, több Dataverse",,,,,
passwd=Password,,,Jelszó,,,,,
dataset=Dataset,,,Adathalmaz/Adatbázis,,,,,
datasets=Datasets,,,Adathalmazok/Adatbázisok,,,,,
newDataset=New Dataset,,,Új adathalmaz/Új adatbázis,,,,,
files=Files,,,Fájlok,,,,,
file=File,,,Fájl,,,,,
restricted=Restricted,,,Korlátozott,,,,,
restrictedaccess=Restricted Access,,,Korlázotott hozzáférés,,,,,
find=Find,,,Találat,,,,,
search=Search,,,Keresés,,,,,
unpublished=Unpublished,,,Kiadatlan/Nem publikált,,,,,
cancel=Cancel,,,Mégsem,,,,,
ok=OK,,,Ok/Rendben,,,,,
saveChanges=Save Changes,,,Változtatások mentése,,,,,
acceptTerms=Accept,,,Elfogadás,,,,,
submit=Submit,,,Küldés/Előterjesztés/Benyújtás/Beadás,,,,,
signup=Sign Up,,,Feliratkozás/Regisztráció,,,,,
login=Log In,,,Bejelentkezés/Belépés,,,,,
email=Email,,,Email,,,,,
account=Account,,,Fiók,,,,,
requiredField=Required field,,,Kötelező mező,,,,,
new=New,,,Új,,,,,
identifier=Identifier,,,Azonosító,,,,,
description=Description,,,Leírás,,,,,
subject=Subject,,,Téma/Tárgy,,,,,
close=Close,,,Bezár/Bezárás,,,,,
preview=Preview,,,Előnézet,,,,,
continue=Continue,,,Folytatás,,,,,
name=Name,,,Név,,,,,
institution=Institution,,,Intézmény/Szervezet,,,,,
position=Position,,,Pozíció,,,,,
affiliation=Affiliation,,,Hovatartozás,,,,,
createDataverse=Create Dataverse,,,Dataverse létrehozása,,,,,
remove=Remove,,,Eltávolítás/Törlés,,,,,
done=Done,,,Kész,,,,,
editor=Contributor,,,Hozzájáruló/Közreműködő,,,,,
manager=Manager,,,Igazgató/Vezető,,,,,
curator=Curator,,,Kurátor/Felügyelő,,,,,
explore=Explore,,,Felfedezés,,,,,
download=Download,,,Letöltés,,,,,
deaccession=Deaccession,,,Csatlakozás megszüntetése,,,,,
share=Share,,,Megosztás,,,,,
link=Link,,,Link/Hivatkozás,,,,,
linked=Linked,,,Linkelt/Összekapcsolt/Összekötött,,,,,
harvested=Harvested,,,Betakarított/Begyűjtött,,,,,
apply=Apply,,,Alkalmaz,,,,,
add=Add,,,Hozzáad/Hozzáadás,,,,,
delete=Delete,,,Törlés,,,,,
yes=Yes,,,Igen,,,,,
no=No,,,Nem,,,,,
previous=Previous,,,Előző,,,,,
next=Next,,,Következő,,,,,
first=First,,,Első,,,,,
last=Last,,,Utolsó,,,,,
more=More...,,,Több,,,,,
less=Less...,,,Kevesebb…,,,,,
select=Select...,,,Kiválaszt…,,,,,
selectedFiles=Selected Files,,,Kiválasztott fájlok,,,,,
htmlAllowedTitle=Allowed HTML Tags,,,Megengedett HTML címkék,,,,,
"htmlAllowedMsg=This field supports only certain <span class=""text-info popoverHTML"">HTML tags</span>.",,,"Ez a mező csak bizonyos <span class=""text-info popoverHTML""> HTML címkéket támogat </span>.",,,,,
"htmlAllowedTags=<a>, <b>, <blockquote>, <br>, <code>, <del>, <dd>, <dl>, <dt>, <em>, <hr>, <h1>-<h3>, <i>, <img>, <kbd>, <li>, <ol>, <p>, <pre>, <s>, <sup>, <sub>, <strong>, <strike>, <ul>",,,,,,,,
,,,,,,,,
# dataverse_header.xhtml,,,Dataverse fejléc,,,,,
header.status.header=Status,,,Státusz,,,,,
header.search.title=Search all dataverses...,,,Összes adatbázis/Dataverse keresése,,,,,
header.about=About,,,Névjegy/Áttekintés,,,,,
header.support=Support,,,Támogatás,,,,,
header.guides=Guides,,,Útmutató,,,,,
header.guides.user=User Guide,,,Használati útmutató,,,,,
header.guides.developer=Developer Guide,,,Fejlesztői útmutató,,,,,
header.guides.installation=Installation Guide,,,Telepítési útmutató,,,,,
header.guides.api=API Guide,,,"API (= Application Programming Interface), vagyis Alkalmazásprogramozási felület Útmutató",,,,,
header.guides.admin=Admin Guide,,,Rendszergazda Útmutató,,,,,
header.signUp=Sign Up,,,Feliratkozás/Regisztráció,,,,,
header.logOut=Log Out,,,Kijelentkezés,,,,,
header.accountInfo=Account Information,,,Fiók információk,,,,,
header.dashboard=Dashboard,,,Irányítópult,,,,,
header.user.selectTab.dataRelated=My Data,,,Adataim,,,,,
header.user.selectTab.notifications=Notifications,,,Értesítések,,,,,
header.user.selectTab.accountInfo=Account Information,,,Fiók információk,,,,,
header.user.selectTab.groupsAndRoles=Groups + Roles,,,Csoportok és Szerepkörök? Szerepek? Feladatok?,,,,,
header.user.selectTab.apiToken=API Token,,,Alkalmazásporgramozási felület Zseton/Token,,,,,
,,,,,,,,
# dataverse_template.xhtml,,,Dataverse minta/sablon,,,,,
"head.meta.description=The Dataverse Project is an open source software application to share, cite and archive data. Dataverse provides a robust infrastructure for data stewards to host and archive data, while offering researchers an easy way to share and get credit for their data.",,,"A Dataverse egy nyílt forráskódú szoftver, melynek segítségével az adatbázisok megoszthatók, hivatkozhatók és archiválhatók. A Dataverse szilárd hátteret biztosít az adatkezelők számára, hogy tárolják és archiválják adatbázisaikat, ezáltal egyszerű megoldást biztosítva a kutatóknak, hogy megosszák adatbázisaikat.",,,,,
body.skip=Skip to main content,,,Átugrás a fő tartalomra,,,,,
,,,,,,,,
# dataverse_footer.xhtml,,,Dataverse lábléc,,,,,
footer.copyright=Copyright &#169; {0},,,Szerzői jog ,,,,,
footer.widget.datastored=Data is stored at {0}.,,,Az adatok a {0} vannak tárolva,,,,,
footer.widget.login=Log in to,,,Belépés,,,,,
footer.privacyPolicy=Privacy Policy,,,Adatvédelmi Szabályzat,,,,,
footer.poweredby=Powered by,,,Működtetve,,,,,
footer.dataverseProject=The Dataverse Project,,,A Dataverse Project,,,,,
,,,,,,,,
# messages.xhtml,,,Üzenetek,,,,,
messages.error=Error,,,Hiba,,,,,
messages.success=Success!,,,Siker!,,,,,
messages.info=Info,,,Információ,,,,,
messages.validation=Validation Error,,,Érvényesítési hiba,,,,,
messages.validation.msg=Required fields were missed or there was a validation error. Please scroll down to see details.,,,Kihagyott kötelező mezőket vagy érvényesítési hiba lépett fel. Kérem görgessen le a részletekért.,,,,,
,,,,,,,,
# contactFormFragment.xhtml,,,,,,,,
contact.header=Contact {0},,,Kapcsolat,,,,,
contact.dataverse.header=Email Dataverse Contact,,,Email Dataverse kontakt számára,,,,,
contact.dataset.header=Email Dataset Contact,,,Email az adatbázis kontakt számára,,,,,
contact.to=To,,,nak - nek/Címzett,,,,,
contact.support=Support,,,Támogatás,,,,,
contact.from=From,,,tól-től/ Feladó,,,,,
contact.from.required=User email is required.,,,Felhasználó email szükséges,,,,,
contact.from.invalid=Email is invalid.,,,Érvénytelen email-cím,,,,,
contact.subject=Subject,,,Tárgy,,,,,
contact.subject.required=Subject is required.,,,Tárgy szükséges,,,,,
contact.subject.selectTab.top=Select subject...,,,Válaszzon tárgyat,,,,,
contact.subject.selectTab.support=Support Question,,,Támogató Kérdések,,,,,
contact.subject.selectTab.dataIssue=Data Issue,,,Adatkiadás/,,,,,
contact.msg=Message,,,Üzenet,,,,,
contact.msg.required=Message text is required.,,,Üzenet szöveg szükséges,,,,,
contact.send=Send Message,,,Üzenet elküldése,,,,,
contact.question=Please fill this out to prove you are not a robot.,,,"Kérem töltse ki, hogy bebizonyítsa, nem robot.",,,,,
contact.sum.required=Value is required.,,,Érték szükséges,,,,,
"contact.sum.invalid=Incorrect sum, please try again.",,,"Helytelen összeg, kérem próbálja újra",,,,,
contact.sum.converterMessage=Please enter a number.,,,Kérem írjon be egy számot-,,,,,
contact.contact=Contact,,,Kontakt/Kapcsolatba lépés,,,,,
,,,,,,,,
# dataverseuser.xhtml,,,Dataverse felhasználó,,,,,
account.info=Account Information,,,Fiók Információ,,,,,
account.edit=Edit Account,,,Fiók Szerkesztése,,,,,
account.apiToken=API Token,,,Alkalmazásprogramozási Felület zseton/token,,,,,
user.isShibUser=Account information cannot be edited when logged in through an institutional account.,,,"A fiók információk nem szerkeszthetők, ha intézményi felhasználóval lépett be.",,,,,
user.helpShibUserMigrateOffShibBeforeLink=Leaving your institution? Please contact,,,Elhagyja az intézményi felhasználót? Kérem lépjen kapcsolatba,,,,,
user.helpShibUserMigrateOffShibAfterLink=for assistance.,,,segítségért.,,,,,
"user.helpOAuthBeforeLink=Your Dataverse account uses {0} for login. If you are interested in changing login methods, please contact",,,"A Dataverse fiókja {0}-t használ belépéshez. Ha érdekli, hogyan tudná megváltoztatni a belépési folyamatot, kérem lépjen kapcsolatba",,,,,
user.helpOAuthAfterLink=for assistance.,,,segítségért.,,,,,
"user.lostPasswdTip=If you have lost or forgotten your password, please enter your username or email address below and click Submit. We will send you an e-mail with your new password.",,,"Ha elhagyta vagy elfelejtette jelszavát, kérem írja be a felhasználónevét vagy email címét és kattintson a Küldés gombra. Küldeni fogunk egy emailt az új jelszóval.",,,,,
user.dataRelatedToMe=My Data,,,Adataim,,,,,
"wasCreatedIn=, was created in",,,létrehozta,,,,,
"wasCreatedTo=, was added to",,,hozzáadott,,,,,
"wasSubmittedForReview=, was submitted for review to be published in",,,"felülvizsgálatra küldték, hogy publikálják",,,,,
"wasPublished=, was published in",,,publikált,,,,,
"wasReturnedByReviewer=, was returned by the curator of ",,,", visszakerült a … kurátora által",,,,,
"# TODO: Confirm that ""toReview"" can be deleted.",,,"Hagyja jóvá, hogy a ""Felülvizsgálás"" törölhető.",,,,,
toReview=Don't forget to publish it or send it back to the contributor!,,,Ne feledje publiklálni/közzétenni vagy visszaküldeni a közreműködőnek!,,,,,
worldMap.added=dataset had a WorldMap layer data added to it.,,,Az adatbázishoz hozzáadtak egy WordMap réteget.,,,,,
"# Bundle file editors, please note that ""notification.welcome"" is used in a unit test.",,,,,,,,
"notification.welcome=Welcome to {0}! Get started by adding or finding data. Have questions? Check out the {1}. Want to test out Dataverse features? Use our {2}. Also, check for your welcome email to verify your address.",,,"Üdvözöljük a {0}! Kezdje adatok hozzáadásával vagy keresésével. Kérdése van? Nézze meg az {1}-t. Dataverse funciókat szeretne felfedezni? Használja a {2}-t. Kérem nézze meg az üdvözlő email-t, hogy megerősítse az email-címét.",,,,,
notification.demoSite=Demo Site,,,Demo oldal,,,,,
notification.requestFileAccess=File access requested for dataset: {0}.,,,Fájl hozzáférés krévényezve az adatbázishoz.,,,,,
notification.grantFileAccess=Access granted for files in dataset: {0}.,,,Hozzáférés biztosítva az adatbázis fájlokhoz.,,,,,
notification.rejectFileAccess=Access rejected for requested files in dataset: {0}.,,,Hozzáférés megtagadva az adatbázis fájlokhoz.,,,,,
"notification.createDataverse={0} was created in {1} . To learn more about what you can do with your dataverse, check out the {2}. ",,,"{0} az {1}-ben volt létrehozva. Tudjon meg többet arról a Dataverse lehetőségeiről, nézze meg a {2}-t.",,,,,
notification.dataverse.management.title=Dataverse Management - Dataverse User Guide,,,Dataverse Kezelés - Dataverse Felhasználói Útmutató,,,,,
"notification.createDataset={0} was created in {1}. To learn more about what you can do with a dataset, check out the {2}.",,,"{0} az {1}-ben volt létrehozva. Ha többet szeretne tudni a Dataverse használatáról, nézze meg a {2}-t.",,,,,
notification.dataset.management.title=Dataset Management - Dataset User Guide,,,Dataverse Menedzsment - Dataverse Felhasználói Útmutató,,,,,
notification.wasSubmittedForReview={0} was submitted for review to be published in {1}. Don''t forget to publish it or send it back to the contributor\!,,,"{0}-t felülvizsgálatra küldték, hogy publikálják {1}-ben. Ne feledje publiklálni vagy visszaküldeni a közreműködőnek!",,,,,
notification.wasReturnedByReviewer={0} was returned by the curator of {1}.,,,{0} visszakerült az {1} kurátora által,,,,,
notification.wasPublished={0} was published in {1}.,,,{0}-t publikálták {1}-ben,,,,,
"notification.worldMap.added={0}, dataset had WorldMap layer data added to it.",,,"{0}, adatbázishoz hozzáadtak egy WordMap réteget.",,,,,
"notification.maplayer.deletefailed=Failed to delete the map layer associated with the restricted file {0} from WorldMap. Please try again, or contact WorldMap and/or Dataverse support. (Dataset: {1})",,,"Sikertelen volt a {0} korlátozott fájlhoz társított téképréteg törlése a WordMap-ről. Kérem próbálja újra, vagy lépjen kapcsolatban WorldMap és/vagy Dataverse támogatással. (Adatbázis: {1})",,,,,
"notification.generic.objectDeleted=The dataverse, dataset, or file for this notification has been deleted.",,,"A dataverse, az adatbázis vagy a fájlhoz tartozó értesítés törölve lett.",,,,,
notification.access.granted.dataverse=You have been granted the {0} role for {1}.,,,Megkapta a {0} szerepet az {1}-hez.,,,,,
notification.access.granted.dataset=You have been granted the {0} role for {1}.,,,Megkapta a {0} szerepet az {1}-hez.,,,,,
notification.access.granted.datafile=You have been granted the {0} role for file in {1}.   ,,,Megkapta a {0} szerepet a fájlhoz {1}-ben.,,,,,
notification.access.granted.fileDownloader.additionalDataverse={0} You now have access to all published restricted and unrestricted files in this dataverse.,,,{0} Mostantól hozzáférése van minden publikált/közzétett korlátozott és korlátozatlan fájlhoz ebben az adatbázisban.,,,,,
notification.access.granted.fileDownloader.additionalDataset={0} You now have access to all published restricted and unrestricted files in this dataset.,,,{0} Mostantól hozzáférése van minden publikált/közzétett korlátozott és korlátozatlan fájlhoz ebben az adatbázisban.,,,,,
notification.access.revoked.dataverse=You have been removed from a role in {0}.,,,Letörölték egy szerepről a {0}-ban.,,,,,
notification.access.revoked.dataset=You have been removed from a role in {0}.,,,Letörölték egy szerepről a {0}-ban.,,,,,
notification.access.revoked.datafile=You have been removed from a role in {0}.,,,Letörölték egy szerepről a {0}-ban.,,,,,
