id,dvno_group_name,dvno_group_id_explicit,dvno_group_id,dvno_membership,dvno_users,dvno_affiliation,feide_id,feide_email,feide_name,feide_nb,feide_nn,feide_en,feide_se,ror_id,ror_name,ror_acronym,comments
1,phs.no,&explicit/1-phsno,phsno,No Members,No,The Norwegian Police University College,54,phs.no,The Norwegian Police University College,Politihøgskolen,Politihøgskulen,The Norwegian Police University College,,https://ror.org/05486d596,Norwegian Police University College,PHS,
2,uia.no,&explicit/1-uiano,uiano,"24 users, 0 groups",24,University of Agder,55,uia.no,University of Agder,Universitetet i Agder,Universitetet i Agder,University of Agder,Agder Universitehta,https://ror.org/03x297z98,University of Agder,,
3,nifu.no,&explicit/1-nifuno,nifuno,No Members,No,NIFU,58,nifu.no,NIFU,NIFU,NIFU,NIFU,,,,,
4,hiof.no,&explicit/1-hiofno,hiofno,"7 users, 0 groups",7,Østfold University College,70,hiof.no,Østfold University College,Høgskolen i Østfold,Høgskulen i Østfold,Østfold University College,Østfold Allaskuvla,https://ror.org/04gf7fp41,Østfold University College,HiØ,
5,aho.no,&explicit/1-ahono,ahono,No Members,No,The Oslo School of Architecture and Design,93,aho.no,The Oslo School of Architecture and Design,Arkitektur- og designhøgskolen i Oslo,Arkitektur- og designhøgskulen i Oslo,The Oslo School of Architecture and Design,,,,,
6,cmi.no,&explicit/1-cmino,cmino,No Members,No,Chr. Michelsen Institute,96,cmi.no,Chr. Michelsen Institute,Chr. Michelsens Institutt,Chr. Michelsens Institutt,Chr. Michelsen Institute,,https://ror.org/02w7rbf39,Christian Michelsen Institute,CMI,
7,mf.no,&explicit/1-mfno,mfno,No Members,No,"MF Norwegian School of Theology, Religion and Society",100,mf.no,"MF Norwegian School of Theology, Religion and Society",MF vitenskapelig høyskole,MF vitenskapelig høyskole,"MF Norwegian School of Theology, Religion and Society",,https://ror.org/01qafy255,"MF Norwegian School of Theology, Religion and Society",,
8,dmmh.no,&explicit/1-dmmhno,dmmhno,No Members,No,Queen Maud University College,103,dmmh.no,Queen Maud University College,Dronning Mauds Minne Høgskole,Dronning Mauds Minne Høgskule,Queen Maud University College,,https://ror.org/043zemc40,Queen Maud University College,DMMH,
9,nhh.no,&explicit/1-nhhno,nhhno,No Members,No,Norwegian School of Economics,119,nhh.no,Norwegian School of Economics,Norges Handelshøyskole,Norges Handelshøyskole,Norwegian School of Economics,,https://ror.org/04v53s997,Norwegian School of Economics,NHH,
10,nla.no,&explicit/1-nlano,nlano,No Members,No,NLA University College,123,nla.no,NLA University College,NLA Høgskolen,NLA Høgskolen,NLA University College,NLA Høgskolen,https://ror.org/05fdt2q64,NLA University College,,
11,npolar.no,&explicit/1-npolarno,npolarno,No Members,No,Norwegian Polar Institute,124,,Norwegian Polar Institute,Norsk Polarinstitutt,,Norwegian Polar Institute,,https://ror.org/03avf6522,Norwegian Polar Institute,,
12,nr.no,&explicit/1-nrno,nrno,No Members,No,Norwegian Computing Center,125,nr.no,Norsk Regnesentral,Norsk Regnesentral,,,,https://ror.org/02gm7te43,Norwegian Computing Center,NR,
13,sintef.no,&explicit/1-sintefno,sintefno,"1 user, 0 groups",1,SINTEF,131,sintef.no,SINTEF,SINTEF,SINTEF,SINTEF,,https://ror.org/01f677e56,SINTEF,,
14,samiskhs.no,&explicit/1-samiskhsno,samiskhsno,No Members,No,Sámi allaskuvla – Sámi University College,133,samas.no,Sámi allaskuvla – Sámi University College,Sámi allaskuvla – Samisk høgskole,Sámi allaskuvla – Samisk høgskule,Sámi allaskuvla – Sámi University College,Sámi allaskuvla – Samisk høgskole,https://ror.org/028ahgk39,Sámi University of Applied Sciences,,
15,uib.no,&explicit/1-uibno,uibno,"76 users, 0 groups",76,University of Bergen,137,uib.no,University of Bergen,Universitetet i Bergen,Universitetet i Bergen,University of Bergen,Bergen Universitehta,https://ror.org/03zga2b32,University of Bergen,,
16,uio.no,&explicit/1-uiono,uiono,"33 users, 0 groups",33,University of Oslo,138,uio.no,University of Oslo,Universitetet i Oslo,Universitetet i Oslo,University of Oslo,Oslo Universitehta,https://ror.org/01xtthb56,University of Oslo,UiO,
17,uit.no,&explicit/1-uitno,uitno,"341 users, 0 groups",341,UiT The Arctic University of Norway,139,uit.no,UiT The Arctic University of Norway,UiT Norges arktiske universitet,UiT Noregs arktiske universitet,UiT The Arctic University of Norway,UiT Norgga árktalaš universitehta,https://ror.org/00wge5k78,UiT The Arctic University of Norway,UiT,
18,ntnu.no,&explicit/1-ntnuno,ntnuno,"142 users, 0 groups",142,Norwegian University of Science and Technology,140,ntnu.no,NTNU,NTNU,,NTNU,,https://ror.org/05xg72x27,Norwegian University of Science and Technology,NTNU,
19,nina.no,&explicit/1-ninano,ninano,No Members,No,Norwegian Institute for Nature Research,144,nina.no,NINA,NINA,NINA,,,https://ror.org/04aha0598,Norwegian Institute for Nature Research,NINA,
20,ngu.no,&explicit/1-nguno,nguno,"1 user, 0 groups",1,Geological Survey of Norway,145,ngu.no,Geological Survey of Norway,Norges geologiske undersøkelse,Norges geologiske undersøkelse,Geological Survey of Norway,,,,,
21,himolde.no,&explicit/1-himoldeno,himoldeno,No Members,No,Molde University College,158,himolde.no,Molde University College,Høgskolen i Molde,Høgskulen i Molde,Molde University College,Molde Allaskuvla,https://ror.org/00kxjcd28,Molde University College,HiM,
22,nb.no,&explicit/1-nbno,nbno,No Members,No,National Library of Norway,160,nb.no,National Library of Norway,Nasjonalbiblioteket,Nasjonalbiblioteket,National Library of Norway,,,,,
23,uis.no,&explicit/1-uisno,uisno,"14 users, 0 groups",14,University of Stavanger,163,uis.no,University of Stavanger,Universitetet i Stavanger,Universitetet i Stavanger,University of Stavanger,Stavanger Universitehta,https://ror.org/02qte9q33,University of Stavanger,UiS,
24,hivolda.no,&explicit/1-hivoldano,hivoldano,No Members,No,Volda University College,165,hivolda.no,Volda University College,Høgskulen i Volda,Høgskulen i Volda,Volda University College,Volda Allaskuvla,https://ror.org/01eeqzy24,Volda University College,HVO,
25,khio.no,&explicit/1-khiono,khiono,No Members,No,Oslo National Academy of the Arts,195,khio.no,Oslo National Academy of the Arts,Kunsthøgskolen i Oslo,Kunsthøgskulen i Oslo,Oslo National Academy of the Arts,,https://ror.org/0543h9a62,Oslo National Academy of the Arts,,
26,samfunnsforskning.no,&explicit/1-samfunnsforskningno,samfunnsforskningno,No Members,No,Institute for Social Research,197,samfunnsforskning.no,Institute for Social Research,Institutt for samfunnsforskning,,Institute for Social Research,,https://ror.org/05swz5441,Institute for Social Research,IFS,
27,ldh.no,&explicit/1-ldhno,ldhno,No Members,No,Lovisenberg Diaconal University College,216,ldh.no,Lovisenberg diaconal university college,Lovisenberg diakonale høgskole,Lovisenberg diakonale høgskule,Lovisenberg diaconal university college,,https://ror.org/015rzvz05,Lovisenberg Diakonale Høgskole,LDH,
28,fhi.no,&explicit/1-fhino,fhino,No Members,No,Norwegian Institute of Public Health,310,fhi.no,Norwegian Institute of Public Health,Folkehelseinstituttet,,Norwegian Institute of Public Health,,https://ror.org/046nvst19,Norwegian Institute of Public Health,NIPH,
29,nih.no,&explicit/1-nihno,nihno,No Members,No,Norwegian School of Sport Sciences,323,nih.no,Norwegian School of Sport Sciences,Norges idrettshøgskole,Noregs idrettshøgskule,Norwegian School of Sport Sciences,,https://ror.org/045016w83,Norwegian School of Sport Sciences,NSSS,
30,bi.no,&explicit/1-bino,bino,No Members,No,BI Norwegian Business School,324,bi.no,BI Norwegian Business School,Handelshøyskolen BI,Handelshøyskolen BI,BI Norwegian Business School,,https://ror.org/03ez40v33,BI Norwegian Business School,,
31,nmh.no,&explicit/1-nmhno,nmhno,No Members,No,Norwegian Academy of Music,325,nmh.no,Norwegian Academy of Music,Norges musikkhøgskole,Noregs musikkhøgskule,Norwegian Academy of Music,,https://ror.org/052dy9793,Norwegian Academy of Music,NMH,
32,kristiania.no,&explicit/1-kristianiano,kristianiano,No Members,No,Kristiania University College,17007,feide.egms.no,Kristiania University College,Høyskolen Kristiania,Høyskolen Kristiania,Kristiania University College,,https://ror.org/03gss5916,Campus Kristiania,,
33,fhs.mil.no,&explicit/1-fhsmilno,fhsmilno,"1 user, 0 groups",1,Norwegian Defence University College,115267,mil.no,Norwegian Defence University College,Forsvarets høgskoler,Forsvarets høgskuler,Norwegian Defence University College,,https://ror.org/02vfz9j23,Norwegian Defence University College,NDUC,
34,ansgarskolen.no,&explicit/1-ansgarskolenno,ansgarskolenno,No Members,No,Ansgar University College,120177,ansgarhogskole.no,Ansgar University College,Ansgar høyskole,,Ansgar University College,,https://ror.org/05y8hw592,Ansgar Bibelskole,,
35,oslomet.no,&explicit/1-oslometno,oslometno,No Members,No,OsloMet – Oslo Metropolitan University,120186,oslomet.no,OsloMet – Oslo Metropolitan University,OsloMet – storbyuniversitetet,OsloMet – storbyuniversitetet,OsloMet – Oslo Metropolitan University,OsloMet – stuorragávpotuniversitehta,https://ror.org/04q12yn84,OsloMet – Oslo Metropolitan University,HiOA,
36,nmbu.no,&explicit/1-nmbuno,nmbuno,"48 users, 0 groups",48,Norwegian University of Life Sciences,1777926,nmbu.no,Norwegian University of Life Sciences,Norges miljø- og biovitenskapelige universitet,Noregs miljø- og biovitenskapelige universitet,Norwegian University of Life Sciences,,https://ror.org/04a1mvv97,Norwegian University of Life Sciences,NMBU,
